# Configuración del tablero de Serpientes y Escaleras
# Formato: tipoCasilla,idCasilla,idCasillaDestino,textoImprimir
# Tipos de casilla: SERPIENTE, ESCALERA, ALINICIO, CASIFIN

# Serpientes
SERPIENTE,16,6,¡Has caído en una serpiente! Bajas a la casilla 6
SERPIENTE,47,26,¡Una serpiente muy larga! Desciendes a la casilla 26
SERPIENTE,49,11,¡La serpiente te atrapa! Bajas a la casilla 11
SERPIENTE,61,19,¡Oh no, casi llegas! Caes a la casilla 19

# Escaleras
ESCALERA,4,14,¡Has encontrado una escalera! Subes a la casilla 14
ESCALERA,9,31,¡Una escalera hacia arriba! Subes a la casilla 31
ESCALERA,22,42,¡Gran escalera! Avanzas hasta la casilla 42
ESCALERA,36,44,¡Pequeña escalera! Subes a la casilla 44

# Casillas especiales
ALINICIO,51,1,¡Mala suerte! Vuelves al principio del juego
CASIFIN,27,62,¡Has sacado un 6! Avanzas hasta la casilla 62
